Countries,Males,Females
Algeria,69,73
Angola,50,53
Benin,58,61
Burkina Faso,55,56
Burundi,52,56
Cabo Verde,71,79
Cameroon,54,56
Central African Republic,48,51
Chad,50,52
"Congo, Dem. Rep.",48,51
"Congo, Rep.",57,60
Cote d'Ivoire,50,51
Djibouti,60,63
"Egypt, Arab Rep.",69,73
Equatorial Guinea,51,54
Eritrea,60,65
Ethiopia,61,65
Gabon,62,64
"Gambia, The",57,60
Ghana,60,62
Guinea,55,57
Guinea-Bissau,53,56
Kenya,59,63
Lesotho,49,49
Liberia,59,61
Libya,73,77
Madagascar,63,66
Malawi,55,55
Mali,55,54
Mauritania,60,63
Mauritius,70,77
Morocco,69,72
Mozambique,49,51
Namibia,61,67
Niger,58,58
Nigeria,52,52
Rwanda,62,65
Sao Tome and Principe,64,68
Senegal,62,65
Seychelles,68,78
Sierra Leone,45,46
Somalia,53,56
South Africa,54,58
South Sudan,54,56
Sudan,60,64
Swaziland,49,48
Tanzania,60,62
Togo,55,57
Tunisia,73,77
Uganda,58,60
Zambia,55,59
Zimbabwe,57,59
