Web ID,Region_of_Incident,Reported_Year,Number_Dead,Total_Dead_and_Missing
44025,US-Mexico Border,2017,10,10
44026,Mediterranean,2017,,2
44027,Mediterranean,2017,1,1
44017,US-Mexico Border,2017,1,1
44024,US-Mexico Border,2017,1,1
44023,US-Mexico Border,2017,1,1
44021,US-Mexico Border,2017,1,1
44022,US-Mexico Border,2017,1,1
44011,Mediterranean,2017,3,3
44012,Mediterranean,2017,1,1
44019,Middle East,2017,3,3
44020,Middle East,2017,97,97
44008,Middle East,2017,10,10
44009,Mediterranean,2017,,28
44014,US-Mexico Border,2017,1,1
44004,Mediterranean,2017,3,4
44005,US-Mexico Border,2017,1,1
44002,Mediterranean,2017,1,1
44003,Europe,2017,4,4
44016,Central America,2017,1,1
44018,Mediterranean,2017,1,1
43997,Mediterranean,2017,31,31
43998,Mediterranean,2017,1,1
43999,Mediterranean,2017,1,1
44000,Mediterranean,2017,6,6
44001,Mediterranean,2017,1,1
43993,Mediterranean,2017,1,21
43991,Europe,2017,1,1
43992,Mediterranean,2017,,6
43995,Caribbean,2017,3,3
43990,Europe,2017,1,1
43984,Mediterranean,2017,3,3
43985,US-Mexico Border,2017,1,5
43989,US-Mexico Border,2017,1,1
43983,South Asia,2017,5,5
43988,Middle East,2017,1,1
44015,Mediterranean,2017,1,1
43981,South Asia,2017,15,15
43979,Central America,2017,2,2
43980,Central America,2017,1,1
43977,Central America,2017,2,2
43978,Central America,2017,1,1
43973,Central America,2017,2,2
43976,Mediterranean,2017,2,2
43972,Mediterranean,2017,1,1
43975,US-Mexico Border,2017,1,1
43986,Mediterranean,2017,1,1
43987,Middle East,2017,2,2
43968,US-Mexico Border,2017,1,1
43969,Mediterranean,2017,2,2
43971,Mediterranean,2017,1,1
43962,Mediterranean,2017,1,1
43964,Mediterranean,2017,5,34
43970,Mediterranean,2017,1,1
43967,US-Mexico Border,2017,1,1
43924,Mediterranean,2017,1,1
43921,Mediterranean,2017,3,10
43922,Mediterranean,2017,23,76
43923,Mediterranean,2017,3,14
43963,Sub-Saharan Africa,2017,3,6
43912,Mediterranean,2017,8,8
43916,Europe,2017,1,1
43920,US-Mexico Border,2017,1,1
43914,Southeast Asia,2017,4,4
43917,North Africa,2017,1,1
43911,Mediterranean,2017,2,2
43913,Southeast Asia,2017,2,3
43915,Europe,2017,1,1
43954,US-Mexico Border,2017,1,1
43910,Mediterranean,2017,2,5
43899,Mediterranean,2017,1,1
43903,Middle East,2017,1,1
43919,US-Mexico Border,2017,1,1
43904,US-Mexico Border,2017,5,5
43905,US-Mexico Border,2017,14,14
43906,US-Mexico Border,2017,3,3
43907,US-Mexico Border,2017,8,8
43908,US-Mexico Border,2017,1,1
43893,Mediterranean,2017,8,8
43894,Mediterranean,2017,1,1
43901,Caribbean,2017,1,1
43902,Central America,2017,1,1
43909,North Africa,2017,6,6
43896,US-Mexico Border,2017,1,1
43955,US-Mexico Border,2017,1,1
43957,US-Mexico Border,2017,1,1
43891,Mediterranean,2017,1,1
43959,US-Mexico Border,2017,1,1
43871,Central America,2017,1,1
43866,Southeast Asia,2017,11,41
43870,Mediterranean,2017,1,1
43982,Europe,2017,1,1
43864,Mediterranean,2017,1,1
43865,Caribbean,2017,,37
43869,Middle East,2017,2,2
43898,Mediterranean,2017,28,28
43862,US-Mexico Border,2017,1,1
43863,Sub-Saharan Africa,2017,1,1
43895,Sub-Saharan Africa,2017,11,11
43855,Southeast Asia,2017,15,31
43856,Central America,2017,1,1
43857,Mediterranean,2017,46,49
43859,Europe,2017,1,1
43860,US-Mexico Border,2017,1,1
43861,US-Mexico Border,2017,1,1
43961,US-Mexico Border,2017,1,1
43849,Central America,2017,1,1
43854,US-Mexico Border,2017,1,1
43848,Mediterranean,2017,,68
43960,US-Mexico Border,2017,1,1
43835,Mediterranean,2017,1,1
43836,Mediterranean,2017,2,2
43847,Sub-Saharan Africa,2017,3,3
43853,US-Mexico Border,2017,1,1
43868,Mediterranean,2017,1,1
43832,Central America,2017,1,1
43830,Mediterranean,2017,1,1
43831,Southeast Asia,2017,23,63
43858,Europe,2017,1,1
43828,Middle East,2017,3,3
43829,Middle East,2017,1,1
43958,US-Mexico Border,2017,1,1
43770,Mediterranean,2017,2,2
43827,US-Mexico Border,2017,1,1
43826,Southeast Asia,2017,1,1
43767,Europe,2017,24,38
43768,US-Mexico Border,2017,1,1
43769,US-Mexico Border,2017,1,1
43765,Central America,2017,2,2
43766,US-Mexico Border,2017,1,1
43996,US-Mexico Border,2017,1,1
43764,Mediterranean,2017,7,97
43825,Middle East,2017,1,1
43890,Southeast Asia,2017,1,1
43846,Middle East,2017,23,23
43889,Southeast Asia,2017,1,1
43760,Caribbean,2017,9,16
43692,US-Mexico Border,2017,2,2
43845,US-Mexico Border,2017,1,1
43691,Mediterranean,2017,3,3
43824,Middle East,2017,1,1
43887,Southeast Asia,2017,3,3
43888,Southeast Asia,2017,1,1
43690,Southeast Asia,2017,1,1
43763,Southeast Asia,2017,1,1
43886,Southeast Asia,2017,4,4
43956,US-Mexico Border,2017,1,1
43685,Mediterranean,2017,1,7
43689,US-Mexico Border,2017,1,1
43885,Southeast Asia,2017,9,9
43684,Middle East,2017,2,2
43688,Southeast Asia,2017,2,2
43823,Middle East,2017,1,1
43843,US-Mexico Border,2017,1,1
43844,US-Mexico Border,2017,1,1
43680,Mediterranean,2017,1,1
43681,Mediterranean,2017,,3
43682,Central America,2017,1,1
43842,US-Mexico Border,2017,1,1
43884,Southeast Asia,2017,1,1
43668,US-Mexico Border,2017,1,1
43675,Southeast Asia,2017,3,3
43883,Southeast Asia,2017,2,2
43882,Southeast Asia,2017,13,13
43674,Southeast Asia,2017,10,10
43679,US-Mexico Border,2017,1,1
43762,Southeast Asia,2017,1,1
43840,US-Mexico Border,2017,1,1
43841,US-Mexico Border,2017,1,1
43852,US-Mexico Border,2017,1,1
43948,US-Mexico Border,2017,1,1
43673,North Africa,2017,16,16
43839,US-Mexico Border,2017,1,1
43881,Southeast Asia,2017,2,2
43657,Central America,2017,2,2
43802,North Africa,2017,7,7
43803,North Africa,2017,2,2
43838,US-Mexico Border,2017,1,1
43880,Southeast Asia,2017,1,1
43678,Middle East,2017,1,1
43656,US-Mexico Border,2017,1,1
43672,Southeast Asia,2017,4,6
43677,Middle East,2017,1,1
43837,US-Mexico Border,2017,1,1
42399,Central America,2017,1,1
42400,Central America,2017,2,2
43833,Central America,2017,1,1
43879,Southeast Asia,2017,26,26
42398,Mediterranean,2017,7,7
43676,Middle East,2017,1,1
43878,Southeast Asia,2017,19,19
43950,US-Mexico Border,2017,1,1
42397,Mediterranean,2017,,120
43755,Horn of Africa,2017,1,1
43756,North Africa,2017,6,6
43757,North Africa,2017,2,2
43758,North Africa,2017,2,2
43759,North Africa,2017,1,1
42395,US-Mexico Border,2017,1,1
43801,North Africa,2017,3,3
43667,US-Mexico Border,2017,1,1
43666,US-Mexico Border,2017,1,1
43669,Europe,2017,2,2
43670,Mediterranean,2017,5,5
42388,Central America,2017,1,1
42389,Europe,2017,1,1
43800,North Africa,2017,7,7
43751,Sub-Saharan Africa,2017,1,1
43752,Sub-Saharan Africa,2017,12,12
43753,Sub-Saharan Africa,2017,1,1
43754,North Africa,2017,3,3
43851,US-Mexico Border,2017,1,1
43966,US-Mexico Border,2017,1,1
42387,US-Mexico Border,2017,,2
43750,Sub-Saharan Africa,2017,7,7
43798,North Africa,2017,1,1
43799,North Africa,2017,1,1
42396,Middle East,2017,1,1
43748,Sub-Saharan Africa,2017,1,1
43749,Sub-Saharan Africa,2017,1,1
42394,Middle East,2017,1,1
43745,Sub-Saharan Africa,2017,1,1
43746,Sub-Saharan Africa,2017,1,1
43747,Sub-Saharan Africa,2017,1,1
43797,North Africa,2017,3,3
43952,US-Mexico Border,2017,1,1
43953,US-Mexico Border,2017,1,1
43796,North Africa,2017,2,2
42383,Sub-Saharan Africa,2017,1,11
43665,US-Mexico Border,2017,1,1
43743,Sub-Saharan Africa,2017,1,1
43744,Sub-Saharan Africa,2017,1,1
43794,North Africa,2017,7,7
43795,North Africa,2017,9,9
43741,Sub-Saharan Africa,2017,1,1
43742,Sub-Saharan Africa,2017,2,2
43793,North Africa,2017,3,3
42382,Central America,2017,1,1
43664,US-Mexico Border,2017,1,1
43739,North Africa,2017,1,1
43740,Sub-Saharan Africa,2017,1,1
43792,North Africa,2017,2,2
35493,Middle East,2017,1,1
38437,Central America,2017,1,1
43791,North Africa,2017,3,3
38436,Europe,2017,1,1
43663,US-Mexico Border,2017,1,1
43735,Sub-Saharan Africa,2017,1,1
43736,Sub-Saharan Africa,2017,5,5
43737,Sub-Saharan Africa,2017,1,1
43738,North Africa,2017,3,3
43790,North Africa,2017,2,2
43662,US-Mexico Border,2017,1,1
35492,US-Mexico Border,2017,1,1
43788,North Africa,2017,2,2
43789,North Africa,2017,2,2
35486,US-Mexico Border,2017,1,1
43661,US-Mexico Border,2017,1,1
35491,Middle East,2017,1,1
43660,US-Mexico Border,2017,1,1
43787,North Africa,2017,4,4
35483,Horn of Africa,2017,12,18
42381,US-Mexico Border,2017,1,1
42393,US-Mexico Border,2017,2,2
43951,US-Mexico Border,2017,1,1
35481,Horn of Africa,2017,29,35
35482,Mediterranean,2017,1,1
35489,Middle East,2017,1,1
43786,North Africa,2017,2,2
35480,Middle East,2017,1,1
43785,North Africa,2017,4,4
35479,Middle East,2017,2,2
35488,Mediterranean,2017,2,2
42380,US-Mexico Border,2017,1,1
43659,US-Mexico Border,2017,1,1
35473,Mediterranean,2017,8,8
43949,US-Mexico Border,2017,1,1
43784,North Africa,2017,3,3
35474,Central America,2017,1,1
35471,Europe,2017,1,1
35472,US-Mexico Border,2017,1,1
35469,US-Mexico Border,2017,1,3
35478,Middle East,2017,1,1
43658,US-Mexico Border,2017,1,1
35467,Mediterranean,2017,8,8
35468,Central America,2017,1,4
35470,US-Mexico Border,2017,1,1
35466,Mediterranean,2017,1,1
35463,US-Mexico Border,2017,1,1
43783,North Africa,2017,4,4
35461,US-Mexico Border,2017,1,1
35477,Middle East,2017,4,4
43782,North Africa,2017,3,3
35442,US-Mexico Border,2017,1,1
35443,Mediterranean,2017,8,8
35444,Middle East,2017,2,2
35465,Central America,2017,1,1
42379,Central America,2017,1,1
43818,Sub-Saharan Africa,2017,1,1
35459,US-Mexico Border,2017,1,1
35460,US-Mexico Border,2017,1,1
43781,North Africa,2017,4,4
35437,US-Mexico Border,2017,27,27
35438,Central America,2017,1,1
35439,Mediterranean,2017,13,16
35440,US-Mexico Border,2017,1,1
35476,Mediterranean,2017,2,2
43733,North Africa,2017,1,1
43734,Sub-Saharan Africa,2017,1,1
35433,US-Mexico Border,2017,4,4
35434,US-Mexico Border,2017,1,1
35464,Central America,2017,1,1
43732,Sub-Saharan Africa,2017,4,4
35429,US-Mexico Border,2017,10,10
35458,US-Mexico Border,2017,1,1
43731,North Africa,2017,3,3
35485,Europe,2017,1,1
43730,North Africa,2017,5,5
35428,US-Mexico Border,2017,1,1
35457,US-Mexico Border,2017,1,1
43729,Sub-Saharan Africa,2017,1,1
35426,Mediterranean,2017,1,1
35427,US-Mexico Border,2017,1,1
43728,Sub-Saharan Africa,2017,9,9
30170,US-Mexico Border,2017,1,1
30171,Central America,2017,1,1
30172,US-Mexico Border,2017,1,1
43725,Sub-Saharan Africa,2017,24,24
43726,Sub-Saharan Africa,2017,1,1
43727,Sub-Saharan Africa,2017,4,4
30168,US-Mexico Border,2017,1,1
30169,Central America,2017,1,1
35456,US-Mexico Border,2017,1,1
43723,Sub-Saharan Africa,2017,1,1
43724,Sub-Saharan Africa,2017,2,2
30167,Mediterranean,2017,1,1
30160,Mediterranean,2017,1,1
30166,Caribbean,2017,5,6
35441,Middle East,2017,6,6
43722,Sub-Saharan Africa,2017,15,15
43947,US-Mexico Border,2017,1,1
43721,Sub-Saharan Africa,2017,1,1
30158,Middle East,2017,3,3
30654,Mediterranean,2017,1,1
31134,Europe,2017,1,1
43720,Sub-Saharan Africa,2017,1,1
31132,Mediterranean,2017,3,3
35455,US-Mexico Border,2017,1,1
43716,Sub-Saharan Africa,2017,1,1
43717,Sub-Saharan Africa,2017,5,5
43718,Sub-Saharan Africa,2017,1,1
43719,Sub-Saharan Africa,2017,1,1
31130,Mediterranean,2017,1,1
31131,US-Mexico Border,2017,1,1
43714,Sub-Saharan Africa,2017,2,2
43715,Sub-Saharan Africa,2017,1,1
43822,Sub-Saharan Africa,2017,7,7
35453,US-Mexico Border,2017,1,1
35454,US-Mexico Border,2017,1,1
31126,North Africa,2017,20,20
31128,Mediterranean,2017,,35
31129,Middle East,2017,2,2
42384,North Africa,2017,20,20
43713,Sub-Saharan Africa,2017,1,1
31125,US-Mexico Border,2017,1,1
43821,Sub-Saharan Africa,2017,3,3
43943,US-Mexico Border,2017,1,1
31124,Central America,2017,1,1
35450,US-Mexico Border,2017,1,1
35451,US-Mexico Border,2017,1,1
35452,US-Mexico Border,2017,1,1
43820,Sub-Saharan Africa,2017,6,6
31121,Mediterranean,2017,,49
31122,Central America,2017,1,1
31120,Mediterranean,2017,4,4
43712,North Africa,2017,10,10
31119,US-Mexico Border,2017,1,1
35449,US-Mexico Border,2017,1,1
31118,Mediterranean,2017,9,9
43710,North Africa,2017,3,3
43711,North Africa,2017,3,3
43780,North Africa,2017,2,2
31114,Mediterranean,2017,,60
31115,Mediterranean,2017,1,1
31116,US-Mexico Border,2017,1,1
31117,Mediterranean,2017,10,10
35447,US-Mexico Border,2017,1,1
43707,Horn of Africa,2017,3,3
43708,North Africa,2017,4,4
43709,North Africa,2017,4,4
43819,Sub-Saharan Africa,2017,1,1
31110,Mediterranean,2017,1,1
31111,Caribbean,2017,1,1
31112,Central America,2017,1,1
31113,US-Mexico Border,2017,1,1
43940,US-Mexico Border,2017,1,1
30624,US-Mexico Border,2017,1,1
31102,US-Mexico Border,2017,1,1
31104,Mediterranean,2017,29,29
31105,Mediterranean,2017,1,1
31106,Mediterranean,2017,2,2
31107,US-Mexico Border,2017,1,1
31108,US-Mexico Border,2017,1,1
31109,Mediterranean,2017,2,2
43705,Horn of Africa,2017,10,10
43706,North Africa,2017,10,10
31099,US-Mexico Border,2017,1,1
31100,US-Mexico Border,2017,1,1
31101,Mediterranean,2017,7,7
43779,North Africa,2017,2,2
31092,Mediterranean,2017,3,3
31093,Mediterranean,2017,1,1
31094,US-Mexico Border,2017,2,2
31095,US-Mexico Border,2017,1,1
31096,US-Mexico Border,2017,1,1
31097,Middle East,2017,10,10
31098,Middle East,2017,2,2
43704,North Africa,2017,1,1
43817,Sub-Saharan Africa,2017,2,2
31088,Sub-Saharan Africa,2017,1,52
31089,Mediterranean,2017,2,2
31090,US-Mexico Border,2017,1,1
43702,Sub-Saharan Africa,2017,2,2
43703,Sub-Saharan Africa,2017,1,1
31087,Mediterranean,2017,1,1
43701,Sub-Saharan Africa,2017,1,1
31091,US-Mexico Border,2017,1,1
31086,Mediterranean,2017,1,1
43816,Sub-Saharan Africa,2017,6,6
31082,Central America,2017,1,1
31083,Mediterranean,2017,18,18
31084,Mediterranean,2017,5,5
31085,North Africa,2017,1,1
31076,Mediterranean,2017,3,3
31077,Mediterranean,2017,1,1
31078,US-Mexico Border,2017,1,1
31079,US-Mexico Border,2017,1,1
31080,US-Mexico Border,2017,1,1
31081,US-Mexico Border,2017,1,1
43700,North Africa,2017,2,2
31075,Mediterranean,2017,,7
31071,Mediterranean,2017,7,7
31072,Mediterranean,2017,9,9
31073,US-Mexico Border,2017,1,1
43815,Sub-Saharan Africa,2017,3,3
31058,Mediterranean,2017,,110
31059,Mediterranean,2017,5,5
31060,Mediterranean,2017,,0
31061,Mediterranean,2017,,0
31062,Mediterranean,2017,2,2
31063,US-Mexico Border,2017,1,1
31064,US-Mexico Border,2017,1,1
31065,US-Mexico Border,2017,1,1
31066,US-Mexico Border,2017,1,1
31067,US-Mexico Border,2017,1,1
31068,US-Mexico Border,2017,1,1
31069,US-Mexico Border,2017,1,1
43697,North Africa,2017,11,11
43698,North Africa,2017,2,2
43699,Sub-Saharan Africa,2017,1,1
31054,US-Mexico Border,2017,1,1
31055,US-Mexico Border,2017,1,1
31056,Mediterranean,2017,5,5
31057,Mediterranean,2017,8,8
43813,Sub-Saharan Africa,2017,12,12
43814,Sub-Saharan Africa,2017,8,8
31048,Mediterranean,2017,3,3
31049,Mediterranean,2017,4,4
31050,Mediterranean,2017,,126
31053,US-Mexico Border,2017,1,1
31046,US-Mexico Border,2017,1,1
31047,Middle East,2017,5,5
31043,Mediterranean,2017,1,1
31044,Mediterranean,2017,1,1
31045,US-Mexico Border,2017,1,1
31040,US-Mexico Border,2017,1,1
31041,US-Mexico Border,2017,1,1
31042,Mediterranean,2017,2,2
35432,Mediterranean,2017,2,2
43696,Sub-Saharan Africa,2017,1,1
43695,Sub-Saharan Africa,2017,1,1
31034,Mediterranean,2017,8,8
31035,Mediterranean,2017,,61
31036,Mediterranean,2017,8,8
31037,Mediterranean,2017,1,1
31038,Mediterranean,2017,1,1
31039,US-Mexico Border,2017,1,1
31030,Mediterranean,2017,1,1
31031,Mediterranean,2017,1,1
31032,Sub-Saharan Africa,2017,1,1
31033,Mediterranean,2017,1,1
31028,US-Mexico Border,2017,1,1
31029,Europe,2017,1,1
31027,US-Mexico Border,2017,1,1
43812,Sub-Saharan Africa,2017,9,9
31026,US-Mexico Border,2017,1,1
31025,North Africa,2017,7,7
43778,North Africa,2017,5,5
43810,Sub-Saharan Africa,2017,15,15
43811,Sub-Saharan Africa,2017,4,4
31022,Mediterranean,2017,19,19
31023,Mediterranean,2017,2,2
31024,Europe,2017,9,9
43777,North Africa,2017,2,2
31020,Mediterranean,2017,4,4
31021,North Africa,2017,1,1
43776,North Africa,2017,4,4
31018,Europe,2017,1,1
31019,Central America,2017,1,1
31052,North Africa,2017,3,3
31012,Sub-Saharan Africa,2017,44,44
31013,US-Mexico Border,2017,1,1
31014,US-Mexico Border,2017,1,1
31016,US-Mexico Border,2017,1,1
31017,Mediterranean,2017,13,13
31010,US-Mexico Border,2017,1,1
31011,US-Mexico Border,2017,1,1
43775,North Africa,2017,2,2
43809,Sub-Saharan Africa,2017,4,4
31006,Central America,2017,1,1
31007,Mediterranean,2017,10,20
31008,US-Mexico Border,2017,1,1
31009,US-Mexico Border,2017,1,1
43808,Sub-Saharan Africa,2017,1,1
43773,North Africa,2017,1,1
43774,North Africa,2017,1,1
43807,Sub-Saharan Africa,2017,2,2
30998,Mediterranean,2017,2,20
30999,Mediterranean,2017,33,57
31000,Mediterranean,2017,1,1
31001,US-Mexico Border,2017,1,1
31002,US-Mexico Border,2017,1,1
31004,Central America,2017,1,1
31005,Mediterranean,2017,7,7
30993,Mediterranean,2017,1,1
30994,Mediterranean,2017,,82
30995,US-Mexico Border,2017,1,1
30996,North America,2017,1,1
30997,Mediterranean,2017,1,1
43772,North Africa,2017,2,2
43805,Sub-Saharan Africa,2017,2,2
43806,Sub-Saharan Africa,2017,10,10
30989,US-Mexico Border,2017,1,1
30990,US-Mexico Border,2017,1,1
30992,Mediterranean,2017,2,2
43938,US-Mexico Border,2017,1,1
30987,East Asia,2017,1,1
30988,Europe,2017,1,1
43761,Mediterranean,2017,1,1
