ORDERNUMBER,QUANTITYORDERED,PRICEEACH,PRICETOTAL,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,CUSTOMERNAME,CITY,STATE,COUNTRY,DEALSIZE
10107,30,95.7,2871.0,1,2,2003,Motorcycles,Land of Toys Inc.,NYC,NY,USA,Small
10121,34,81.35,2765.9,2,5,2003,Motorcycles,Reims Collectables,Reims,,France,Small
10134,41,94.74,3884.34,3,7,2003,Motorcycles,Lyon Souveniers,Paris,,France,Medium
10145,45,83.26,3746.7,3,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,CA,USA,Medium
10159,49,100.0,4900.0,4,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,CA,USA,Medium
10168,36,96.66,3479.76,4,10,2003,Motorcycles,Technics Stores Inc.,Burlingame,CA,USA,Medium
10180,29,86.13,2497.77,4,11,2003,Motorcycles,Daedalus Designs Imports,Lille,,France,Small
10188,48,100.0,4800.0,4,11,2003,Motorcycles,Herkku Gifts,Bergen,,Norway,Medium
10201,22,98.57,2168.54,4,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,CA,USA,Small
10211,41,100.0,4100.0,1,1,2004,Motorcycles,Auto Canal Petit,Paris,,France,Medium
10223,37,100.0,3700.0,1,2,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Victoria,Australia,Medium
10237,23,100.0,2300.0,2,4,2004,Motorcycles,Vitachrome Inc.,NYC,NY,USA,Small
10251,28,100.0,2800.0,2,5,2004,Motorcycles,Tekni Collectables Inc.,Newark,NJ,USA,Medium
10263,34,100.0,3400.0,2,6,2004,Motorcycles,Gift Depot Inc.,Bridgewater,CT,USA,Medium
10275,45,92.83,4177.35,3,7,2004,Motorcycles,La Rochelle Gifts,Nantes,,France,Medium
10285,36,100.0,3600.0,3,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,MA,USA,Medium
10299,23,100.0,2300.0,3,9,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,,Finland,Small
10309,41,100.0,4100.0,4,10,2004,Motorcycles,Baane Mini Imports,Stavern,,Norway,Medium
10318,46,94.74,4358.04,4,11,2004,Motorcycles,Diecast Classics Inc.,Allentown,PA,USA,Medium
10329,42,100.0,4200.0,4,11,2004,Motorcycles,Land of Toys Inc.,NYC,NY,USA,Medium
10341,41,100.0,4100.0,4,11,2004,Motorcycles,Salzburg Collectables,Salzburg,,Austria,Large
10361,20,72.55,1451.0,4,12,2004,Motorcycles,Souveniers And Things Co.,Chatswood,NSW,Australia,Small
10375,21,34.91,733.11,1,2,2005,Motorcycles,La Rochelle Gifts,Nantes,,France,Small
10388,42,76.36,3207.12,1,3,2005,Motorcycles,FunGiftIdeas.com,New Bedford,MA,USA,Medium
